tournament,player,deck_number,deck
CAMS19,Legion,1,[Anarchy]/Growth/Strength
CAMS20,zhavier,1,[Future]/Necromancy/Peace
CAMS20,FrozenStorm,1,[Necromancy]/Blood/Fire
CAMS20,charnel_mouse,1,[Necromancy]/Anarchy/Blood
CAMS20,codexnewb,1,[Anarchy]/Growth/Strength
CAMS20,Bomber678,1,[Discipline/Strength]/Finesse
CAMS20,Nopethebard,1,[Discipline/Ninjitsu/Strength]
CAMS20,CarpeGuitarrem,1,[Anarchy/Blood/Fire]
CAMS20,Nekoatl,1,[Future/Past]/Peace
CAMS21,FrozenStorm,1,[Anarchy]/Growth/Strength
CAMS21,charnel_mouse,1,[Demonology]/Anarchy/Finesse
CAMS21,Bomber678,1,[Past]/Anarchy/Peace
CAMS21,CarpeGuitarrem,1,[Anarchy/Blood/Fire]
CAMS21,bansa,1,[Finesse]/Discipline/Strength
CAMS21,Nekoatl,1,[Necromancy]/Blood/Present
CAMS21,zhavier,1,[Future]/Necromancy/Peace
CAMS21,OffKilter,1,[Ninjitsu]/Anarchy/Necromancy
CAMS21,bolyarich,1,[Demonology/Necromancy]/Finesse
CAMS21,Dreamfire,1,[Discipline/Strength]/Finesse
CAMS21,dwarddd,1,[Future/Past/Present]
CAPS17,robinz,1,[Discipline]/Fire/Truth
CAPS17,NikoBolas,1,[Discipline/Ninjitsu/Strength]
CAPS17,petE,1,[Anarchy]/Growth/Strength
CAPS17,zhavier,1,[Anarchy]/Growth/Strength
CAPS17,ARMed_PIrate,1,[Anarchy/Blood/Fire]
CAPS17,Hobusu,1,[Anarchy]/Growth/Strength
CAPS17,Barrelfish,1,[Finesse]/Law/Present
CAPS17,Jadiel,1,[Feral]/Future/Truth
CAPS17,Mooseknuckles,1,[Growth]/Necromancy/Strength
CAPS17,Shadow_Night_Black,1,[Balance/Growth]/Finesse
CAPS17,cstick,1,[Feral]/Anarchy/Necromancy
CAPS17,EricF,1,[Peace]/Anarchy/Balance
CAPS17,FrozenStorm,1,[Demonology/Necromancy]/Finesse
CAPS17,payprplayn,1,[Necromancy]/Blood/Law
CAPS17,Kaelii,1,[Finesse]/Discipline/Ninjitsu
CAPS17,Shax,1,[Law/Peace/Truth]
CAPS17,Penatronic,1,[Present]/Blood/Peace
CAPS17,Bob199,1,[Strength]/Blood/Finesse
CAWS16,Jadiel,1,[Demonology/Disease/Necromancy]
CAWS16,zhavier,1,[Necromancy]/Blood/Truth
CAWS16,Shax,1,[Anarchy/Blood/Fire]
CAWS16,cstick,1,[Demonology]/Balance/Fire
CAWS16,FrozenStorm,1,[Blood]/Growth/Strength
CAWS16,Legion,1,[Past]/Anarchy/Peace
CAWS16,Castanietzsche,1,[Bashing]/Balance/Growth
CAWS16,Barrelfish,1,[Necromancy]/Blood/Growth
CAWS16,petE,1,[Anarchy]/Growth/Strength
CAWS16,PointyFinger,1,[Demonology/Disease/Necromancy]
CAWS16,mdn1111,1,[Feral]/Strength/Truth
CAWS16,ARMed_PIrate,1,[Blood]/Demonology/Strength
CAWS16,EricF,1,[Past]/Anarchy/Peace
CAWS16,Eijolend,1,[Balance/Feral/Growth]
CAWS16,Zejety,1,[Discipline/Strength]/Finesse
CAWS16,Mooseknuckles,1,[Growth]/Necromancy/Strength
CAWS16,neigutten,1,[Disease]/Law/Truth
CAWS16,Alhazard,1,[Demonology/Necromancy]/Finesse
CAWS16,robinz,1,[Blood]/Feral/Present
CAWS16,PiHalbe,1,[Demonology/Disease/Necromancy]
CAWS18,zhavier,1,[Finesse]/Anarchy/Blood
CAWS18,FrozenStorm,1,[Anarchy]/Growth/Necromancy
CAWS18,charnel_mouse,1,[Balance]/Blood/Strength
CAWS18,EricF,1,[Discipline/Strength]/Finesse
CAWS18,Bob199,1,[Future/Past/Present]
CAWS18,Dreamfire,1,[Strength]/Blood/Future
CAWS18,tie,1,[Future/Past/Present]
CAWS18,codexnewb,1,[Necromancy]/Anarchy/Growth
CAWS18,Nekoatl,1,[Discipline]/Law/Past
CAWS18,witspur,1,[Disease]/Anarchy/Blood
CAWS18,thehug0naut,1,[Feral]/Blood/Present
CAWS18,Bomber678,1,[Balance]/Law/Peace
CAWS18,flagrantangles,1,[Bashing]/Fire/Peace
CAWS18,Marto,1,[Discipline/Strength]/Finesse
CAWS18,Shadow_Night_Black,1,[Past/Present]/Finesse
CAWS19,FrozenStorm,1,[Future]/Necromancy/Peace
CAWS19,charnel_mouse,1,[Balance]/Blood/Strength
CAWS19,CarpeGuitarrem,1,[Necromancy]/Blood/Present
CAWS19,zhavier,1,[Balance/Growth]/Finesse
CAWS19,Nopethebard,1,[Anarchy/Blood/Fire]
CAWS19,Akiata,1,[Past]/Anarchy/Peace
CAWS19,Bomber678,1,[Anarchy/Blood/Fire]
CAWS19,bolyarich,1,[Demonology/Necromancy]/Finesse
CAWS19,dwarddd,1,[Past/Present]/Peace
CAWS19,EricF,1,[Feral]/Fire/Law
CAWS19,codexnewb,1,[Anarchy]/Growth/Strength
CAWS20,FrozenStorm,1,[Demonology/Necromancy]/Finesse
CAWS20,Bomber678,1,[Finesse]/Anarchy/Strength
CAWS20,zhavier,1,[Blood]/Feral/Strength
CAWS20,charnel_mouse,1,[Demonology/Disease]/Discipline
CAWS20,EricF,1,[Demonology/Necromancy]/Bashing
CAWS20,CarpeGuitarrem,1,[Anarchy/Blood/Fire]
CAWS20,Nekoatl,1,[Demonology/Disease]/Truth
CAWS20,Nopethebard,1,[Anarchy/Blood/Fire]
CAWS20,hardy83,1,[Discipline]/Anarchy/Finesse
CAWS20,Unity,1,[Future/Present]/Peace
CAWS20,Steve44,1,[Disease/Necromancy]/Discipline
CAWS20,bansa,1,[Finesse]/Blood/Fire
CAWS21,FrozenStorm,1,[Necromancy]/Balance/Truth
CAWS21,Bomber678,1,[Anarchy]/Growth/Strength
CAWS21,zango,1,[Balance]/Anarchy/Peace
CAWS21,zhavier,1,[Anarchy]/Growth/Strength
CAWS21,Dreamfire,1,[Necromancy]/Discipline/Present
CAWS21,OffKilter,1,[Finesse]/Feral/Truth
CAWS21,Nekoatl,1,[Balance/Growth]/Strength
CAWS21,charnel_mouse,1,[Law]/Fire/Growth
CAWS21,Moby_Dick,1,[Demonology]/Finesse/Peace
CAWS21,bansa,1,[Blood/Fire]/Feral
LDT1,Bob199,1,[Ninjitsu]/Growth/Necromancy
LDT1,FrozenStorm,1,[Demonology/Necromancy]/Finesse
LDT1,Andreas,1,[Demonology/Necromancy]/Anarchy
LDT1,petE,1,[Necromancy]/Anarchy/Balance
LDT1,Shadow_Night_Black,1,[Future/Past/Present]
LDT1,ARMed_PIrate,1,[Law]/Fire/Strength
LDT1,zhavier,1,[Finesse]/Demonology/Ninjitsu
LDT1,RathyAro,1,[Feral]/Blood/Truth
LDT2,Bob199,1,[Feral]/Blood/Truth
LDT2,FrozenStorm,1,[Future]/Necromancy/Peace
LDT2,zhavier,1,[Anarchy]/Growth/Strength
LDT2,RathyAro,1,[Finesse]/Peace/Truth
LDT2,Legion,1,[Demonology/Necromancy]/Finesse
LDT2,sKiTTer,1,[Demonology]/Future/Law
LDT2,Salrane,1,[Present]/Anarchy/Peace
LDT2,Hobusu,1,[Anarchy]/Growth/Strength
LDT2,Dreamfire,1,[Blood]/Feral/Present
LDT2,ARMed_PIrate,1,[Discipline/Ninjitsu]/Bashing
LDT2,holytispon,1,[Necromancy]/Fire/Present
LDT2,codexnewb,1,[Feral/Growth]/Finesse
RACE2,cstick,1,[Demonology]/Anarchy/Law
RACE2,EricF,1,[Past]/Blood/Peace
RACE2,zhavier,1,[Fire]/Growth/Necromancy
RACE2,YoungBuck,1,[Past]/Anarchy/Peace
RACE3,FrozenStorm,1,[Discipline/Ninjitsu/Strength]
RACE3,Castanietzsche,1,[Law/Peace/Truth]
RACE3,Request,1,[Future/Past/Present]
RACE3,Request,2,[Anarchy/Blood/Fire]
RACE3,YoungBuck,1,[Discipline/Ninjitsu/Strength]
RACE3,YoungBuck,2,[Demonology/Disease/Necromancy]
RACE3,Ryjak,1,[Future/Past/Present]
RACE3,Anemone,1,[Demonology/Disease/Necromancy]
RACE3,Barrelfish,1,[Necromancy]/Blood/Growth
RACE3,PiHalbe,1,[Demonology/Disease/Necromancy]
RACE3,PiHalbe,2,[Anarchy/Blood/Fire]
RACE3,PointyFinger,1,[Demonology/Disease/Necromancy]
RACE3,PointyFinger,2,[Balance/Feral/Growth]
RACE3,Jadiel,1,[Future/Past/Present]
RACE3,snoc,1,[Balance/Feral/Growth]
RACE3,snoc,2,[Discipline/Ninjitsu/Strength]
RACE3,Mooseknuckles,1,[Past]/Balance/Peace
RACE3,cinder,1,[Demonology/Disease/Necromancy]
RACE3,cinder,2,[Discipline/Ninjitsu/Strength]
RACE3,Hobusu,1,[Anarchy/Blood/Fire]
RACE3,Hobusu,2,[Balance/Feral/Growth]
RACE3,Momi,1,[Feral]/Fire/Future
RACE3,Momi,2,[Demonology]/Strength/Truth
RACE3,Lettucemode,1,[Disease]/Discipline/Fire
RACE3,cstick,1,[Demonology]/Balance/Fire
RACE3,Jake,1,[Demonology/Disease/Necromancy]
RACE3,Jake,2,[Discipline/Ninjitsu/Strength]
RACE3,CarpeGuitarrem,1,[Balance/Feral/Growth]
RACE3,jasonwocky,1,[Demonology/Necromancy]/Anarchy
RACE3,Jude,1,[Discipline/Ninjitsu/Strength]
RACE3,Jude,2,[Disease]/Growth/Present
RACE3,petE,1,[Anarchy]/Growth/Strength
RACE3,Bob199,1,[Discipline]/Blood/Truth
RACE3,Bob199,2,[Demonology]/Balance/Feral
RACE3,Marto,1,[Future/Past/Present]
RACE3,Marto,2,[Discipline/Strength]/Finesse
RACE3,Marto,3,[Law/Peace/Truth]
RACE3,Marto,4,[Anarchy/Blood/Fire]
RACE3,zhavier,1,[Demonology/Disease/Necromancy]
RACE3,EricF,1,[Bashing]/Demonology/Necromancy
RACE3,EricF,2,[Demonology/Necromancy]/Bashing
RACE3,Bomber678,1,[Future]/Blood/Peace
RACE3,Bomber678,2,[Feral]/Strength/Truth
RACE3,Bomber678,3,[Balance]/Law/Peace
RACE3,Bomber678,4,[Anarchy/Blood/Fire]
RACE3,Legion,1,[Past]/Anarchy/Peace
RACE3,Legion,2,[Demonology/Necromancy]/Finesse
XCAFRR19,James,1,[Anarchy]/Past/Strength
XCAFRR19,dwarddd,1,[Strength]/Feral/Growth
XCAFRR19,bolyarich,1,[Future]/Anarchy/Peace
XCAFRR19,charnel_mouse,1,[Discipline]/Disease/Law
XCAFRR19,EricF,1,[Demonology/Necromancy]/Finesse
XCAFRR19,Nopethebard,1,[Fire]/Growth/Present
XCAFRR19,Bomber678,1,[Future/Past/Present]
XCAFRR19,UrbanVelvet,1,[Fire]/Disease/Truth
XCAFRR19,OffKilter,1,[Balance/Growth]/Disease
XCAFRR19,CarpeGuitarrem,1,[Necromancy]/Blood/Present
XCAFRR19,Persephone,1,[Peace]/Discipline/Disease
XCAFRR19,Taz,1,[Discipline]/Past/Peace
XCAFRR19,zhavier,1,[Discipline/Strength]/Finesse
XCAFRR19,FrozenStorm,1,[Demonology/Disease/Necromancy]
XCAFRR19,Nekoatl,1,[Demonology]/Growth/Strength
XCAFRR19,Leaky,1,[Feral/Growth]/Disease
XCAFRR19,codexnewb,1,[Discipline]/Law/Necromancy
XCAFS18,zhavier,1,[Blood]/Feral/Growth
XCAFS18,cstick,1,[Necromancy]/Law/Present
XCAFS18,Dreamfire,1,[Discipline]/Feral/Necromancy
XCAFS18,FrozenStorm,1,[Necromancy]/Blood/Fire
XCAFS18,Bomber678,1,[Necromancy]/Blood/Truth
XCAFS18,charnel_mouse,1,[Finesse]/Balance/Growth
XCAFS18,thehug0naut,1,[Feral/Growth]/Present
XCAFS18,deluks917,1,[Anarchy/Blood/Fire]
XCAFS18,Marto,1,[Necromancy]/Balance/Present
XCAFS18,codexnewb,1,[Finesse]/Growth/Necromancy
XCAFS18,Nekoatl,1,[Finesse]/Peace/Truth
XCAFS18,witspur,1,[Demonology]/Discipline/Finesse
XCAFS18,CarpeGuitarrem,1,[Anarchy/Blood/Fire]
XCAFS18,EricF,1,[Feral/Growth]/Finesse
XCAFS20,FrozenStorm,1,[BashingF20]/DisciplineF20/NinjitsuF20
XCAFS20,charnel_mouse,1,[BalanceF20]/BloodF20/StrengthF20
XCAFS20,zhavier,1,[BalanceF20/FeralF20]/BloodF20
XCAFS20,Bomber678,1,[BashingF20]/DisciplineF20/FireF20
XCAFS20,EricF,1,[PastF20]/PeaceF20/TruthF20
XCAFS20,bansa,1,[LawF20/PeaceF20]/FinesseF20
XCAFS20,CarpeGuitarrem,1,[BashingF20]/DisciplineF20/FireF20
XCAFS20,dwarddd,1,[FutureF20/PastF20/PresentF20]
XCAFS20,James,1,[LawF20/PeaceF20/TruthF20]
XCAFS20,codexnewb,1,[FutureF20]/PeaceF20/TruthF20
XCAFS20,Nekoatl,1,[GrowthF20]/StrengthF20/TruthF20
XCAPS20,CarpeGuitarrem,1,[Discipline/Ninjitsu/Strength]
XCAPS20,Bomber678,1,[Discipline/Strength]/Peace
XCAPS20,FrozenStorm,1,[Anarchy]/Growth/Strength
XCAPS20,Nopethebard,1,[Demonology/Disease/Necromancy]
XCAPS20,charnel_mouse,1,[Growth]/Anarchy/Peace
XCAPS20,Shadow_Night_Black,1,[Future/Past/Present]
XCAPS20,Akiata,1,[Balance/Growth]/Finesse
XCAPS20,EricF,1,[Blood]/Growth/Strength
XCAPS20,bolyarich,1,[Demonology]/Anarchy/Balance
XCAPS20,codexnewb,1,[Discipline/Strength]/Finesse
XCAPS20,dwarddd,1,[Future/Past/Present]
XCAPS20,zhavier,1,[Discipline/Ninjitsu/Strength]
XCAPS20,James,1,[Demonology/Disease/Necromancy]
XCAFRR21,FrozenStorm,1,[DemonBash/Disease/Necromancy]
XCAFRR21,FrozenStorm,2,[Law/Peace/Truth]
XCAFRR21,FrozenStorm,3,[Balance/Feral/Growth]
XCAFRR21,FrozenStorm,4,[Future/Past/Present]
XCAFRR21,FrozenStorm,5,[Anarchy/Blood/Fire]
XCAFRR21,FrozenStorm,6,[Discipline/Ninjitsu/Strength]
XCAFRR21,zango,1,[DemonBash/Disease/Necromancy]
XCAFRR21,zango,2,[Peace/Truth]/Finesse
XCAFRR21,zango,3,[Balance/Feral/Growth]
XCAFRR21,zango,4,[Future/Past/Present]
XCAFRR21,zango,5,[Anarchy/Blood/Fire]
XCAFRR21,zango,6,[Discipline/Ninjitsu/Strength]
XCAFRR21,charnel_mouse,1,[DemonBash/Disease/Necromancy]
XCAFRR21,charnel_mouse,2,[Law/Peace]/Finesse
XCAFRR21,charnel_mouse,3,[Balance/Feral/Growth]
XCAFRR21,charnel_mouse,4,[Future/Past/Present]
XCAFRR21,charnel_mouse,5,[Anarchy/Blood/Fire]
XCAFRR21,charnel_mouse,6,[Discipline/Ninjitsu/Strength]
XCAFRR21,Dreamfire,1,[DemonBash/Disease/Necromancy]
XCAFRR21,Dreamfire,2,[Law/Peace/Truth]
XCAFRR21,Dreamfire,3,[Balance/Feral/Growth]
XCAFRR21,Dreamfire,4,[Future/Past/Present]
XCAFRR21,Dreamfire,5,[Anarchy/Blood/Fire]
XCAFRR21,Dreamfire,6,[Discipline/Strength]/Finesse
XCAFRR21,Dreamfire,7,[Discipline/Ninjitsu/Strength]
XCAFRR21,Bomber678,1,[DemonBash/Disease/Necromancy]
XCAFRR21,Bomber678,2,[Law/Peace/Truth]
XCAFRR21,Bomber678,3,[Balance/Growth]/Finesse
XCAFRR21,Bomber678,4,[Future/Past/Present]
XCAFRR21,Bomber678,5,[Anarchy/Blood/Fire]
XCAFRR21,Bomber678,6,[Discipline/Ninjitsu/Strength]
XCAFRR21,zhavier,1,[DemonBash/Disease/Necromancy]
XCAFRR21,zhavier,2,[Peace/Truth]/Finesse
XCAFRR21,zhavier,3,[Balance/Feral/Growth]
XCAFRR21,zhavier,4,[Future/Past/Present]
XCAFRR21,zhavier,5,[Anarchy/Blood/Fire]
XCAFRR21,zhavier,6,[Discipline/Ninjitsu/Strength]
XCAFRR21,Juan_Enriquez,1,[DemonBash/Disease/Necromancy]
XCAFRR21,Juan_Enriquez,2,[Law/Peace/Truth]
XCAFRR21,Juan_Enriquez,3,[Balance/Feral/Growth]
XCAFRR21,Juan_Enriquez,4,[Future/Past/Present]
XCAFRR21,Juan_Enriquez,5,[Anarchy/Blood/Fire]
XCAFRR21,Juan_Enriquez,6,[Discipline/Ninjitsu/Strength]
XCAFRR21,OffKilter,1,[DemonBash/Disease/Necromancy]
XCAFRR21,OffKilter,2,[Law/Peace/Truth]
XCAFRR21,OffKilter,3,[Balance/Feral/Growth]
XCAFRR21,OffKilter,4,[Future/Past/Present]
XCAFRR21,OffKilter,5,[Anarchy/Blood/Fire]
XCAFRR21,OffKilter,6,[Discipline/Ninjitsu/Strength]
XCAFRR21,CarpeGuitarrem,1,[DemonBash/Disease/Necromancy]
XCAFRR21,CarpeGuitarrem,2,[Law/Peace/Truth]
XCAFRR21,CarpeGuitarrem,3,[Balance/Feral/Growth]
XCAFRR21,CarpeGuitarrem,4,[Future/Past/Present]
XCAFRR21,CarpeGuitarrem,5,[Anarchy/Blood/Fire]
XCAFRR21,CarpeGuitarrem,6,[Discipline/Ninjitsu/Strength]
XCAPS22,zango,1,[Finesse]/Feral/Ninjitsu
XCAPS22,FrozenStorm,1,[DemonologyP22/NecromancyP22]/Finesse
XCAPS22,Bomber678,1,[Future]/Blood/Peace
XCAPS22,Moby_Dick,1,[Finesse]/Discipline/Ninjitsu
XCAPS22,zhavier,1,[AnarchyP22]/GrowthP22/Strength
XCAPS22,Dreamfire,1,[DemonologyP22]/AnarchyP22/Balance
XCAPS22,dwarddd,1,[Future/Past/Present]
XCAPS22,charnel_mouse,1,[NecromancyP22]/AnarchyP22/Blood
XCAPS22,OffKilter,1,[Future]/Blood/Ninjitsu
