start,end,tournament,round,round_match_number,player1,player2,deck1,deck2,map,victor,victory,format,unknown_order,recorder,notes
2020-07-29,2020-07-31,CAMS20,6,1,zhavier,FrozenStorm,[Future]/Necromancy/Peace,[Necromancy]/Blood/Fire,,zhavier,normal,forum,,charnel_mouse,
2020-07-30,2020-08-02,CAMS20,6,2,charnel_mouse,codexnewb,[Necromancy]/Anarchy/Blood,Miracle Grow,,charnel_mouse,normal,forum,,charnel_mouse,
2020-08-03,2020-08-06,CAMS20,7,1,FrozenStorm,charnel_mouse,[Necromancy]/Blood/Fire,[Necromancy]/Anarchy/Blood,,FrozenStorm,normal,forum,,charnel_mouse,
2020-08-07,2020-08-10,CAMS20,8,1,FrozenStorm,zhavier,[Necromancy]/Blood/Fire,[Future]/Necromancy/Peace,,zhavier,normal,forum,,charnel_mouse,
2020-08-11,2020-08-13,CAMS20,9,1,zhavier,FrozenStorm,[Future]/Necromancy/Peace,[Necromancy]/Blood/Fire,,FrozenStorm,normal,forum,,charnel_mouse,
2020-07-25,2020-08-16,MMM1,3,9,dwarddd,bolyarich,MonoPurple,MonoRed,,dwarddd,normal,forum,,charnel_mouse,
2020-08-24,2020-08-24,MMM1,1,2,codexnewb,FrozenStorm,MonoGreen,MonoBlue,,codexnewb,normal,forum,,charnel_mouse,
2020-08-25,2020-08-25,MMM1,2,2,codexnewb,FrozenStorm,MonoGreen,MonoBlue,,codexnewb,normal,forum,,charnel_mouse,
2020-08-26,2020-08-26,MMM1,3,2,codexnewb,FrozenStorm,MonoGreen,MonoBlue,,codexnewb,normal,forum,,charnel_mouse,
2020-08-27,2020-08-30,MMM1,4,2,codexnewb,FrozenStorm,MonoGreen,MonoBlue,,codexnewb,normal,forum,,charnel_mouse,
2020-08-30,2020-09-01,MMM1,5,2,codexnewb,FrozenStorm,MonoGreen,MonoBlue,,FrozenStorm,normal,forum,,charnel_mouse,
2020-09-02,2020-09-03,MMM1,6,2,FrozenStorm,codexnewb,MonoBlue,MonoGreen,,FrozenStorm,normal,forum,,charnel_mouse,
2020-09-08,2020-09-09,MMM1,7,2,FrozenStorm,codexnewb,MonoBlue,MonoGreen,,FrozenStorm,normal,forum,,charnel_mouse,
